OBJECTID,ROUTEPATTERN,AGENCYNAME,ROUTENAME,ROUTENUMBER,MODE,Shape__Length,lon,lat
115867,52451,NZB,Remuera To Epsom Schools,524,School Bus,8132.159173217729,174.807560000315,-36.8726499993317
115868,52452,NZB,Epsom Schools to Remuera,524,School Bus,7889.992467667191,174.809405500388,-36.8729344989588
115869,52551,NZB,Herne Bay To Epsom Girls Grammar School,525,School Bus,7702.847957011555,174.73773000053,-36.8451399987881
115870,52552,NZB,Epsom Girls Grammar School to Herne Bay,525,School Bus,8012.491298443985,174.740840000026,-36.8452899990302
115871,52955,BAYES,Long Bay To Northcross Intermediate,529,School Bus,10070.861050733478,174.749599999652,-36.6924499994627
115872,52956,BAYES,Northcross Intermediate to Long Bay,529,School Bus,9895.3485467912,174.749600000115,-36.692519998828
115873,53052,NZB,Royal Oak Intermediate to Onehunga,530,School Bus,5553.705617036794,174.785929999674,-36.9102599991644
115874,53152,NZB,Onehunga High To Church St Onehunga,531,School Bus,6121.57309562406,174.785929999674,-36.9102599991644
115875,54052,NZB,Sacred Heart To Glen Innes,540,School Bus,2295.27801144591,174.865740000182,-36.8700199990461
115876,54152,NZB,Remuera Primary To Ellerslie Shops,541,School Bus,6715.334327854871,174.809405500388,-36.8729344989588
115877,54251,NZB,Kohimarama To Remuera Intermediate Via Meadowbank,542,School Bus,8543.698493455597,174.838920000139,-36.8615499995049
115878,54252,NZB,Remuera Intermediate To Kohimarama Via Meadowbank Shops,542,School Bus,8079.832252655444,174.840950000083,-36.8631899988183
115879,54352,NZB,Remuera Intermediate To Kohimarama via St Johns Rd,543,School Bus,6371.819691750274,174.840950000083,-36.8631899988183
115880,54451,NZB,Meadowbank To Selwyn College,544,School Bus,5504.406700777997,174.839099999888,-36.8617199991306
115881,54452,NZB,Selwyn College To Meadowbank Shopping Centre,544,School Bus,5495.90274586594,174.838920000139,-36.8615499995049
115882,54551,NZB,Upland Rd Shops To Selwyn College,545,School Bus,5243.074762267432,174.839099999888,-36.8617199991306
115883,54552,NZB,Selwyn College To Upland Rd Shops,545,School Bus,5276.357362214431,174.838920000139,-36.8615499995049
115884,54651,NZB,Ellerslie To Selwyn College,546,School Bus,7850.508186303347,174.839099999888,-36.8617199991306
115885,54652,NZB,Selwyn College To Ellerslie,546,School Bus,8028.5724566105255,174.838920000139,-36.8615499995049
115886,54751,NZB,Panmure To Selwyn College Via Stonefields,547,School Bus,6774.678896367924,174.839099999888,-36.8617199991306
115887,54752,NZB,Selwyn College To Panmure Via Stonefields,547,School Bus,6862.159864790191,174.838920000139,-36.8615499995049
115888,54852,NZB,St Ignatius To Glendowie,548,School Bus,13700.026383720176,174.873419999533,-36.8474199993291
115889,54951,NZB,Gowing Dr And Panapa Dr To St Thomas,549,School Bus,6766.720630815969,174.84133000053,-36.8629399992541
115890,54952,NZB,St Thomas To Gowing Dr And Panapa Dr,549,School Bus,6149.5368632813315,174.840890000134,-36.8630499988132
115891,55051,NZB,Gowing Dr And Gerard Way To St Thomas,550,School Bus,4153.291870920962,174.84133000053,-36.8629399992541
115892,55052,NZB,St Thomas To Gowing Dr And Gerard Way,550,School Bus,4502.446545241165,174.840890000134,-36.8630499988132
115893,81352,NZB,Takapuna Grammar To Takapuna,813,School Bus,2290.6513277413624,174.773750000369,-36.7910099992774
